"vdatum","befragte","institut","url","vdatum_char","feldzeit_beginn","feldzeit_ende","datum","datum_char","jahr","partei","stimmanteil","se","lwr","upr","abweichung"
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"gruene",7,0.00510090037662746,6,8,0.2
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"linke_pds",8,0.00542369494224544,6.9,9.1,0
2017-04-11,2502,"Forsa","http://www.wahlrecht.de/umfragen/forsa.htm","11.04.2017","03.04.","07.04.",2017-04-07,"07.04.2017",2017,"spd",30,0.00916148752752665,28.2,31.8,-2.2
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"afd",9,0.00769261337765227,7.5,10.5,0.3
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"cdu_csu",35,0.0128210222960871,32.5,37.5,1.3
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"fdp",5,0.00585839647416893,3.9,6.1,-0.8
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"gruene",7,0.00685839429125617,5.7,8.3,0.2
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"linke_pds",8,0.00729240637591221,6.6,9.4,-0.4
2017-04-07,1384,"FG Wahlen","http://www.wahlrecht.de/umfragen/politbarometer.htm","07.04.2017","04.04.","06.04.",2017-04-06,"06.04.2017",2017,"spd",32,0.0125389566362601,29.5,34.5,0.1
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"afd",9,0.00646748763607464,7.7,10.3,-0.5
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"cdu_csu",35,0.0107791460601244,32.9,37.1,0.3
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"fdp",5,0.00492538814884185,4,6,-0.6
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"gruene",7,0.00576612629602367,5.9,8.1,0.2
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"linke_pds",8,0.0061310176084578,6.8,9.2,-0.2
2017-04-08,1958,"Emnid","http://www.wahlrecht.de/umfragen/emnid.htm","08.04.2017","30.03.","05.04.",2017-04-05,"05.04.2017",2017,"spd",33,0.0106264457046845,30.9,35.1,1.6
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"afd",9,NA,NA,NA,1.8
2017-04-03,NA,"INSA","http://www.wahlrecht.de/umfragen/insa.htm","03.04.2017","31.03.","03.04.",2017-04-03,"03.04.2017",2017,"cdu_csu",32,NA,NA,NA,-2
